"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"16",28.3,101562.8,68109.8,60644.4,1448560.3,16509.4,369972.8,37344.2,695265.2,96990.4,100039.2,35619.4,344643.2,172460,373420,44163,26032.2,145513.6,551771,345380.8,386398.4,423561.6
"17",30.1,108262.4,58082.2,70777.3,1521705.9,23764.5,408299.2,43862.4,645388.4,103328.4,105012.4,38928.6,378476.8,187644,420602.5,39850.8,29201.2,150058,582758.7,341873.6,434953.6,442332.8
"18",31.8,120135.2,67107.2,54358.5,1601392.2,23734.4,445683.2,42418.2,652790.3,111290.8,114579.6,36642,413795.2,206557.6,441222.5,37023.2,29462,158466.4,587473.3,341813.6,445966.4,476228.8
"19",33.6,122923.2,51102.4,62083.7,1681277.7,26934.4,471096,43000,664337,123204,110388,48234.8,419390.4,200258.4,469801,46489.6,31226.8,171380,640015.2,378073.6,485897.6,497948.8
"20",35.4,135176.8,50440.8,59349.6,1893519,21542.5,512528,47091.4,693964.7,126653.6,125029.2,39810.8,460024,212272.8,518398.5,48916.6,32390.4,179718.4,688525.4,374646.4,500776,510163.2
"21",37.1,135377.2,50841.8,57781.1,1906962.4,30895.3,496424,46630.2,663658.8,120094.4,126512.8,39931.2,429156.8,199938.4,491946.5,41956.8,30264,164322.4,647126.3,370652.8,473780.8,475385.6
"22",38.9,126352,42478.6,55264,1787941.8,19313.4,463275.2,49177.2,641785.9,110990,111370.8,36221,408118.4,194282.4,480286,42037.2,28459.2,160318.4,625121.4,339668.8,482265.6,470393.6
"23",40.7,123343.6,40773.6,61898.5,1773336.2,22457.5,463051.2,45948.2,723356.7,112734.4,109866.4,35458.6,417204.8,191855.2,479986,43722,26213,158446.4,636080.8,340670.4,458782.4,461848
"24",42.4,125008.8,40512.8,52112.5,1716179.3,19169.1,459782.4,45045.6,612314.6,109425.2,105694.8,34135,403665.6,194222.4,461582.5,43240.8,28439,159857.6,593090.8,338787.2,456132.8,442996.8
"25",44.2,119192.8,33052.2,60713.3,1666931.3,16520.6,443137.6,42739.2,601846.6,102505.6,102646.4,34275.6,381083.2,186520.8,449382,40833.8,27516.4,151760.8,577065.4,316962.4,423384,405851.2
"26",46,114900.8,32350,45922.1,1531962.2,18886.9,424424,40492.8,562694.2,100881.6,92417.6,32851.4,371016,176812,432264.5,37083.4,25009.4,149798,535658.8,296608.8,409201.6,402344
"27",47.7,109546,34415.8,40386.3,1453543.2,18834.4,398854.4,37945.8,563820.7,95928,91575.6,32249.8,356252.8,171257.6,421065.5,35860,23525.2,135884.4,507182.8,287200.8,407737.6,388844.8
"28",49.5,107981.2,30906,45996.6,1422764.9,13512.5,402264,39409.8,550066.8,93821.6,91434.8,32650.8,346587.2,175690.4,422180.5,36100.6,23264.4,137515.6,498584.2,285637.6,397270.4,397531.2
"29",51.3,108423.2,31086.6,45970,1435346.5,18906.6,391692.8,39389.6,547047.9,92738.8,91494.8,31126.8,352544,178276.8,428987.5,38126.4,22161.4,135353.6,506399.2,286277.6,418868.8,398892.8
"30",53,109244.4,32991.8,45805.1,1443755,20184.4,397166.4,40954.2,534320.8,98033.6,92197.2,31888.8,357819.2,177555.2,437345.5,39088.8,22281.6,140168.4,526166.3,284271.2,417326.4,408240
"31",54.8,110106.8,32249.8,45629.6,1545728.5,20107,400758.4,39891.4,545624.8,90552.4,93780.8,30605,349715.2,171437.6,419051,36702.4,23806.2,138216.4,518735,281484.8,401019.2,384752
"32",56.6,105936,28479.2,46225.3,1446679.1,20369.5,385897.6,37745.2,522818.4,90191.2,92959.2,29402,341009.6,171036.8,411307,36882.6,21920.8,133991.6,492888.5,275328,394579.2,377030.4
"33",58.3,105494.4,27215.6,43369.1,1374304,16243.1,376510.4,37645.2,515719.6,87965.6,86420.8,28459.2,334452.8,167627.2,400747,35779.6,20577,133471.6,504809.7,271976.8,385134.4,384131.2
